,TradePrice
1256,7000000
5844,7000000
832,3500000
3582,7000000
3164,4000000
2802,5300000
1092,5400000
9974,3500000
6952,6000000
5026,5200000
8147,4000000
2223,6300000
10032,3500000
5560,5800000
8276,7000000
1623,4800000
9941,3700000
2776,5600000
9406,6200000
5420,8300000
3209,6300000
239,7500000
5007,4000000
9140,3500000
6208,6500000
9169,5200000
3535,4000000
7268,6200000
6520,3700000
5276,8700000
4025,6500000
8663,7500000
4726,6500000
8645,6100000
673,7700000
5823,5000000
4927,5500000
6538,7800000
1183,3500000
759,6500000
7540,8800000
8275,3500000
76,6000000
1355,7000000
2966,7200000
2602,8000000
1060,4800000
6996,8000000
3072,6000000
9933,5400000
5685,7400000
6548,6100000
7512,5000000
1833,8800000
1522,6500000
977,4000000
2323,7300000
7932,6000000
2762,3800000
514,5000000
8679,6000000
169,8600000
3974,5500000
5732,4300000
3918,7200000
448,3600000
6957,8000000
4648,5000000
1769,8800000
4939,3600000
8806,6800000
4055,4200000
345,5700000
7347,8000000
7966,3500000
353,6100000
6601,6000000
4797,8300000
8341,6000000
9158,5700000
5305,4000000
6201,3500000
3411,5000000
1460,5000000
8839,3700000
8548,7800000
2329,4000000
1518,8500000
8272,5000000
6278,5000000
9537,8100000
1519,5900000
997,4800000
4273,4000000
5600,4000000
1148,8600000
4482,5800000
8738,5300000
1777,3900000
7729,7500000
1637,6600000
1128,6100000
9378,7500000
3184,4000000
2097,7200000
886,8000000
1151,7500000
1643,6000000
9400,7200000
2261,5100000
7520,6000000
4410,6000000
370,4500000
5586,8800000
1201,6000000
1531,8500000
3314,4400000
9136,5100000
7010,6300000
148,6000000
10035,7100000
1687,5500000
6461,4000000
2252,5200000
8780,7800000
4343,8000000
2000,5800000
1348,4200000
396,6400000
9448,3500000
5341,7300000
7926,5000000
1466,7300000
7581,7000000
6798,7800000
6036,7900000
9168,8600000
5048,3600000
1432,4100000
3144,4000000
7474,6800000
9797,7800000
2100,7000000
9077,4800000
4229,8300000
9992,8000000
4874,5500000
592,8500000
9701,8000000
20,5800000
6843,6000000
2960,7800000
8363,6000000
7576,6000000
4113,4800000
376,7500000
9410,8600000
3381,5000000
7769,5000000
8014,3500000
1022,4700000
2739,5400000
9964,7600000
5558,7000000
6539,7400000
1496,6000000
6392,5000000
4142,8200000
1431,3600000
1188,6000000
10018,3500000
9049,4100000
617,8800000
6608,7100000
5035,6000000
3640,6100000
2163,3700000
543,3900000
3704,6500000
6013,4400000
7902,5000000
5570,7200000
4464,6800000
8033,5000000
6264,7300000
5425,4100000
9315,5000000
4391,5700000
6602,4800000
4956,8200000
6922,7300000
2819,3900000
9507,3900000
9471,5500000
4436,3800000
7399,7500000
1463,5500000
3929,6500000
3739,8000000
1236,8500000
9864,5000000
4287,5000000
9600,8200000
1544,8400000
8917,4600000
3752,8200000
1199,3500000
913,6800000
9292,4900000
2442,5000000
9002,4000000
5995,8000000
9466,5300000
428,7500000
2624,7500000
7661,7000000
9095,7100000
1384,5000000
8376,5800000
3931,5500000
7006,3800000
6417,3500000
689,5100000
1207,5000000
87,3900000
446,8000000
9875,7900000
9449,3500000
7957,5000000
1216,3600000
1178,5000000
