,Type,Region,MunicipalityCode,Prefecture,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,FloorPlan,Area,AreaIsGreaterFlag,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Year,Quarter
7015,4,3,6,0,131,71,45,30.0,60.0,20,410,0,3,14.0,0,290.0,0,41,0,17,61,3,2,2,5.5,1,60.0,200.0,8,3
4496,4,3,2,0,1318,74,45,30.0,60.0,20,210,0,2,16.4,0,140.0,0,56,0,17,61,1,2,2,16.0,1,60.0,200.0,10,0
2631,4,3,1,0,1124,30,15,15.0,15.0,20,640,0,2,20.0,0,520.0,0,40,0,17,61,3,6,2,7.0,2,60.0,200.0,11,1
2701,4,0,1,0,1132,32,9,9.0,9.0,20,830,0,1,10.0,0,380.0,0,35,0,17,65,3,4,2,12.5,1,60.0,200.0,10,1
6453,4,3,4,0,1364,20,20,20.0,20.0,20,270,0,2,18.0,0,95.0,0,71,0,17,15,1,7,2,6.0,0,50.0,80.0,10,3
1650,4,3,0,0,601,121,6,6.0,6.0,20,170,0,3,11.0,0,110.0,0,68,0,17,15,6,8,0,6.5,2,60.0,200.0,6,3
6727,4,3,2,0,1090,34,45,30.0,60.0,20,320,0,3,24.0,0,70.0,0,59,0,17,98,6,7,0,10.0,0,50.0,80.0,6,1
1277,4,3,0,0,529,142,45,30.0,60.0,20,370,0,3,16.0,0,240.0,0,45,0,17,15,1,5,2,6.5,0,50.0,80.0,9,2
3522,4,0,2,0,1354,34,9,9.0,9.0,20,280,0,1,13.5,0,155.0,0,76,0,17,15,3,6,2,6.5,6,80.0,400.0,13,1
4653,4,3,2,0,73,34,45,30.0,60.0,20,230,0,3,6.5,0,110.0,0,70,0,17,15,1,3,8,6.0,4,60.0,200.0,10,0
769,4,0,0,0,1348,27,16,16.0,16.0,20,590,0,3,18.0,0,240.0,0,28,0,17,44,6,7,2,21.0,2,60.0,200.0,8,0
7579,4,3,2,0,410,21,45,30.0,60.0,20,220,0,5,15.0,0,120.0,0,61,0,17,15,6,3,2,6.0,0,50.0,80.0,2,0
7280,4,3,2,0,129,21,45,30.0,60.0,20,260,0,2,12.0,0,145.0,0,48,0,17,15,6,2,2,6.0,0,50.0,80.0,5,3
5059,4,0,1,0,643,30,21,21.0,21.0,20,510,0,3,11.0,0,820.0,0,27,0,6,98,6,6,2,10.0,6,80.0,400.0,2,3
5086,4,3,0,0,1034,121,16,16.0,16.0,20,160,0,6,14.0,0,155.0,0,47,0,17,15,6,2,2,6.5,2,60.0,200.0,3,2
9752,4,3,23,0,0,93,9,9.0,9.0,20,210,0,8,12.0,0,110.0,0,63,0,17,15,6,6,8,6.0,2,60.0,200.0,2,1
1330,4,3,0,0,132,3,45,30.0,60.0,20,210,0,2,12.0,0,150.0,0,57,0,17,61,1,8,2,8.0,0,50.0,80.0,13,2
1506,4,3,0,0,704,27,45,30.0,60.0,20,340,0,7,18.0,0,340.0,0,47,0,10,15,6,2,2,8.0,0,50.0,80.0,4,0
5249,4,3,1,0,859,115,4,4.0,4.0,20,300,0,3,13.0,0,145.0,0,34,0,17,15,6,4,9,6.0,1,60.0,200.0,6,1
3201,4,3,0,0,1174,27,45,30.0,60.0,20,180,0,2,11.5,0,105.0,0,46,0,6,15,6,2,2,6.5,0,50.0,80.0,2,0
8544,4,3,2,0,875,76,45,30.0,60.0,20,220,0,2,10.5,0,115.0,0,52,0,17,15,6,6,2,3.0,0,50.0,80.0,3,3
2473,4,0,0,0,1284,3,14,14.0,14.0,20,290,0,2,11.0,0,1600.0,0,42,0,6,26,6,5,2,20.0,6,80.0,600.0,7,2
7797,4,3,2,0,85,34,45,30.0,60.0,20,165,0,6,18.5,0,105.0,0,45,0,17,15,6,7,2,4.0,4,60.0,200.0,2,2
3561,4,3,2,0,1358,84,14,14.0,14.0,20,110,0,2,7.0,0,75.0,0,74,0,17,15,1,7,2,6.0,4,60.0,200.0,13,1
950,4,0,0,0,380,27,45,30.0,60.0,20,1100,0,1,50.0,1,430.0,0,46,0,6,13,2,2,6,50.0,9,80.0,200.0,11,0
4005,4,3,1,0,701,30,45,30.0,60.0,20,210,0,3,12.0,0,150.0,0,52,0,17,15,6,5,2,6.0,0,50.0,80.0,4,0
6614,4,3,2,0,1302,123,45,30.0,60.0,20,260,0,2,10.5,0,85.0,0,65,0,17,15,6,3,2,6.0,0,50.0,80.0,5,3
1170,4,0,0,0,109,3,21,21.0,21.0,20,850,0,1,15.5,0,2000.0,1,38,0,2,81,2,2,2,25.0,6,80.0,400.0,10,0
5419,4,3,2,0,797,123,18,18.0,18.0,20,210,0,1,10.9,0,120.0,0,70,0,17,15,1,2,2,6.0,2,60.0,200.0,9,3
7230,4,3,1,0,1036,29,8,8.0,8.0,20,230,0,3,13.5,0,100.0,0,33,0,17,15,6,7,2,13.5,2,60.0,200.0,3,3
3386,4,1,2,0,586,74,75,60.0,90.0,20,2000,1,3,50.0,1,2000.0,1,32,0,6,0,3,4,2,20.0,7,60.0,200.0,12,2
4834,4,3,1,0,619,11,17,17.0,17.0,20,2000,1,1,50.0,1,1700.0,0,61,0,6,110,6,4,2,18.0,2,60.0,200.0,1,1
4851,4,3,1,0,634,31,18,18.0,18.0,20,100,0,3,12.5,0,90.0,0,66,0,17,15,6,0,2,12.0,0,60.0,150.0,5,2
3526,4,0,2,0,1354,34,9,9.0,9.0,20,280,0,1,13.5,0,155.0,0,76,0,17,15,1,6,2,6.5,6,80.0,400.0,10,2
7019,4,3,2,0,410,21,75,60.0,90.0,20,270,0,7,12.0,0,120.0,0,67,0,17,15,6,4,2,6.0,0,50.0,80.0,6,3
8302,4,3,4,0,867,20,75,60.0,90.0,20,220,0,2,12.0,0,70.0,0,60,0,17,15,6,6,8,6.0,10,70.0,200.0,2,3
181,4,3,0,0,952,3,45,30.0,60.0,20,830,0,6,26.0,0,195.0,0,71,0,1,65,6,2,2,9.0,5,60.0,200.0,10,0
3362,4,3,2,0,165,84,19,19.0,19.0,20,640,0,3,21.0,0,360.0,0,70,0,1,61,3,3,2,6.0,14,60.0,200.0,8,2
6707,4,3,2,0,1328,84,45,30.0,60.0,20,165,0,3,9.5,0,115.0,0,66,0,17,15,6,4,2,6.0,4,60.0,200.0,5,3
1979,4,3,1,0,675,30,45,30.0,60.0,20,760,0,1,14.0,0,200.0,0,49,0,17,15,1,6,2,6.0,2,60.0,200.0,11,0
