,Type,Region,MunicipalityCode,Prefecture,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,FloorPlan,Area,AreaIsGreaterFlag,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Year,Quarter
5887,4,3,1,0,1129,30,24,24.0,24.0,20,75,0,5,9.5,0,90.0,0,40,0,17,61,6,4,2,5.0,2,60.0,200.0,1,2
5099,4,3,1,0,676,30,45,30.0,60.0,20,200,0,2,12.5,0,85.0,0,32,0,17,15,6,6,2,7.5,2,60.0,200.0,1,1
9756,4,3,23,0,0,93,29,29.0,29.0,20,200,0,6,14.3,0,200.0,0,51,0,17,15,6,3,11,3.0,2,60.0,200.0,1,1
432,4,3,0,0,281,65,13,13.0,13.0,20,200,0,2,11.0,0,105.0,0,42,0,17,15,1,6,2,6.5,2,60.0,200.0,10,2
9466,4,3,6,0,1296,71,10,10.0,10.0,20,200,0,3,13.0,0,110.0,0,32,0,17,15,6,4,7,10.5,2,60.0,200.0,3,1
4436,4,3,0,0,927,138,23,23.0,23.0,20,270,0,4,16.5,0,240.0,0,35,0,17,105,6,2,9,4.5,15,70.0,200.0,3,1
7785,4,3,4,0,58,20,22,22.0,22.0,20,330,0,2,15.5,0,250.0,0,31,0,17,110,6,7,2,6.0,1,60.0,200.0,6,3
6557,4,3,0,0,317,27,45,30.0,60.0,20,190,0,2,12.5,0,95.0,0,25,0,17,15,6,5,2,4.0,13,60.0,200.0,3,2
5457,4,3,1,0,1019,30,45,30.0,60.0,20,1300,0,1,18.0,0,220.0,0,76,0,17,15,6,2,2,6.5,15,70.0,200.0,1,1
9974,4,3,38,0,1308,23,105,90.0,120.0,20,150,0,3,11.5,0,165.0,0,50,0,17,15,6,3,11,6.5,10,70.0,200.0,2,3
2343,4,3,1,0,622,30,75,60.0,90.0,20,180,0,2,17.1,0,105.0,0,51,0,17,15,1,2,8,4.0,8,60.0,200.0,12,3
9007,4,3,6,0,799,71,45,30.0,60.0,20,270,0,3,21.0,0,130.0,0,59,0,17,15,6,2,8,6.0,10,70.0,200.0,2,1
5138,4,0,2,0,389,34,24,24.0,24.0,20,75,0,2,6.2,0,260.0,0,28,0,6,31,4,0,6,12.5,9,80.0,200.0,10,1
1089,4,3,0,0,356,3,45,30.0,60.0,20,90,0,5,9.0,0,65.0,0,31,0,17,15,1,6,2,6.0,0,50.0,80.0,9,2
8662,4,3,6,0,799,71,75,60.0,90.0,20,290,0,3,14.0,0,150.0,0,49,0,17,15,6,0,9,6.0,2,60.0,200.0,7,1
4228,4,3,2,0,1041,21,26,26.0,26.0,20,130,0,2,8.5,0,80.0,0,38,0,17,15,1,7,8,6.0,13,60.0,200.0,9,1
542,4,3,0,0,995,121,28,28.0,28.0,20,115,0,2,9.0,0,105.0,0,50,0,17,15,6,7,8,5.0,13,60.0,200.0,8,0
2466,4,3,0,0,270,27,75,60.0,90.0,20,280,0,2,13.0,0,85.0,0,42,0,17,15,6,0,8,6.5,0,50.0,80.0,2,0
3095,4,3,1,0,801,115,7,7.0,7.0,20,320,0,2,16.0,0,110.0,0,38,0,17,15,1,6,8,3.5,1,60.0,200.0,13,1
4611,4,3,1,0,744,30,23,23.0,23.0,20,115,0,2,7.0,0,185.0,0,30,0,2,43,6,8,7,8.0,5,60.0,200.0,6,3
446,4,3,0,0,1265,3,45,30.0,60.0,20,195,0,5,13.0,0,105.0,0,26,0,17,110,1,4,2,7.0,9,80.0,200.0,10,2
4356,4,3,2,0,1043,123,8,8.0,8.0,20,210,0,8,11.5,0,110.0,0,50,0,17,15,1,7,8,4.0,0,50.0,80.0,9,1
9571,4,3,7,0,1253,104,6,6.0,6.0,20,220,0,2,10.5,0,70.0,0,49,0,17,15,6,7,2,5.0,2,60.0,200.0,3,1
7948,4,3,3,0,1247,66,24,24.0,24.0,20,200,0,3,10.0,0,105.0,0,54,0,17,15,6,6,2,6.0,2,60.0,200.0,2,3
6260,4,3,2,0,1089,21,45,30.0,60.0,20,165,0,3,8.0,0,130.0,0,49,0,17,15,6,4,2,4.0,15,60.0,200.0,4,0
9136,4,3,9,0,1377,136,45,30.0,60.0,20,680,0,1,20.0,0,160.0,0,34,0,17,15,6,4,7,10.0,15,70.0,200.0,5,3
7347,4,3,2,0,844,84,13,13.0,13.0,20,165,0,3,9.0,0,100.0,0,54,0,17,15,6,5,2,6.0,8,60.0,200.0,2,2
1217,4,3,0,0,527,0,20,20.0,20.0,20,200,0,2,13.0,0,105.0,0,32,0,17,15,6,2,2,6.5,3,50.0,80.0,8,0
4960,4,3,1,0,960,32,12,12.0,12.0,20,170,0,5,12.0,0,115.0,0,43,0,17,15,6,7,2,6.0,2,60.0,200.0,2,1
979,4,3,0,0,370,89,28,28.0,28.0,20,390,0,0,4.0,0,150.0,0,55,0,17,15,1,6,7,10.0,10,70.0,200.0,12,3
7577,4,3,4,0,867,20,75,60.0,90.0,20,145,0,2,8.0,0,85.0,0,60,0,17,15,6,6,8,6.0,10,70.0,200.0,4,3
2790,4,3,1,0,859,30,45,30.0,60.0,20,230,0,2,12.5,0,155.0,0,36,0,17,15,1,5,2,6.0,1,60.0,200.0,8,2
3087,4,3,0,0,359,13,10,10.0,10.0,20,700,0,6,22.5,0,140.0,0,50,0,17,15,6,8,7,12.0,10,70.0,200.0,5,1
