,Type,Region,MunicipalityCode,Prefecture,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,FloorPlan,Area,AreaIsGreaterFlag,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Year,Quarter
2113,4,3,1,0,698,115,18,18.0,18.0,20,145,0,2,9.0,0,85.0,0,30,0,17,15,1,3,8,5.0,0,50.0,80.0,10,1
9890,4,3,18,0,969,108,15,15.0,15.0,20,80,0,8,9.0,0,95.0,0,21,0,17,15,6,8,11,3.0,2,60.0,200.0,3,1
692,4,3,0,0,1279,3,20,20.0,20.0,20,140,0,1,36.0,0,90.0,0,30,0,17,15,6,3,2,5.0,1,60.0,200.0,8,0
2493,4,3,0,0,377,13,18,18.0,18.0,20,460,0,1,41.5,0,125.0,0,28,0,17,47,6,0,7,15.0,10,70.0,200.0,4,2
426,4,3,0,0,281,65,20,20.0,20.0,20,115,0,5,11.5,0,65.0,0,40,0,17,15,1,2,2,5.0,1,60.0,200.0,11,1
2476,4,0,0,0,1284,3,4,4.0,4.0,20,35,0,2,4.0,0,55.0,0,76,0,17,47,6,3,8,2.5,6,80.0,600.0,7,0
5790,4,3,3,0,409,111,11,11.0,11.0,20,130,0,8,11.5,0,100.0,0,29,0,17,15,1,8,2,6.0,1,60.0,200.0,10,3
7524,4,0,4,0,56,20,14,14.0,14.0,20,75,0,8,6.0,0,180.0,0,20,0,17,47,6,0,6,15.0,9,80.0,200.0,4,2
715,4,3,0,0,68,3,45,30.0,60.0,20,60,0,3,7.0,0,75.0,0,24,0,17,15,1,3,8,3.5,2,60.0,200.0,8,1
9137,4,3,9,0,1377,136,45,30.0,60.0,20,1500,0,3,32.0,0,150.0,0,76,0,17,15,6,2,7,8.0,15,70.0,200.0,5,1
7061,4,3,6,0,90,71,14,14.0,14.0,20,330,0,3,15.0,0,115.0,0,33,0,17,15,1,3,2,10.0,0,50.0,80.0,10,0
4760,4,3,0,0,270,27,45,30.0,60.0,20,75,0,6,18.0,0,40.0,0,42,0,17,79,6,7,2,9.0,1,60.0,200.0,3,0
983,4,3,0,0,370,89,18,18.0,18.0,20,290,0,3,14.0,0,105.0,0,27,0,17,15,1,5,2,4.0,1,60.0,200.0,12,1
9299,4,0,34,0,508,113,29,29.0,29.0,20,100,0,2,4.0,0,45.0,0,76,0,17,98,4,8,7,10.5,6,80.0,400.0,8,3
7378,4,3,7,0,1251,104,6,6.0,6.0,20,260,0,3,9.0,0,180.0,0,54,0,17,15,1,6,2,7.0,13,60.0,200.0,13,0
2922,4,3,0,0,527,0,10,10.0,10.0,20,165,0,2,10.2,0,100.0,0,33,0,17,15,6,8,2,3.0,0,50.0,80.0,4,3
1942,4,3,0,0,198,3,28,28.0,28.0,20,165,0,2,9.5,0,90.0,0,22,0,17,15,6,2,8,4.5,0,60.0,150.0,5,3
9068,4,3,14,0,576,1,25,25.0,25.0,20,170,0,2,7.5,0,115.0,0,76,0,17,15,6,4,11,4.0,2,60.0,200.0,4,0
9971,4,3,38,0,1308,47,75,60.0,90.0,20,140,0,2,15.0,0,90.0,0,36,0,17,15,6,6,11,6.0,1,60.0,200.0,2,3
9602,4,0,18,0,969,108,14,14.0,14.0,20,220,0,5,15.0,0,160.0,0,41,0,17,47,6,2,11,5.5,6,80.0,400.0,2,1
7654,4,3,3,0,460,66,45,30.0,60.0,20,760,0,6,30.5,0,150.0,0,43,0,17,15,6,3,9,3.0,10,70.0,200.0,6,2
4277,4,3,1,0,912,115,45,30.0,60.0,20,200,0,2,18.5,0,105.0,0,33,0,17,15,6,3,8,6.0,1,60.0,200.0,7,2
6206,4,3,0,0,527,0,9,9.0,9.0,20,160,0,2,14.9,0,125.0,0,36,0,17,15,6,5,8,5.5,0,50.0,80.0,3,1
6268,4,3,4,0,44,20,9,9.0,9.0,20,320,0,3,14.5,0,150.0,0,35,0,17,15,1,3,2,4.5,4,60.0,200.0,9,3
9785,4,3,34,0,681,113,23,23.0,23.0,20,125,0,3,8.0,0,60.0,0,34,0,17,15,6,3,11,3.0,2,60.0,200.0,5,0
2066,4,3,0,0,704,27,29,29.0,29.0,20,115,0,2,7.0,0,50.0,0,39,0,17,15,6,6,9,5.0,15,70.0,200.0,6,2
9363,4,3,20,0,672,41,75,60.0,90.0,20,300,0,4,9.5,0,80.0,0,49,0,17,15,6,5,11,6.0,10,70.0,200.0,5,1
3010,4,3,1,0,505,30,75,60.0,90.0,20,185,0,3,12.0,0,130.0,0,33,0,17,15,1,8,2,5.5,15,70.0,200.0,12,1
9592,4,3,7,0,283,120,45,30.0,60.0,20,630,0,1,6.0,0,145.0,0,31,0,17,15,6,6,2,5.0,10,70.0,200.0,3,1
9443,4,0,6,0,1263,71,45,30.0,60.0,20,85,0,3,7.0,0,55.0,0,34,0,17,98,6,4,7,10.5,6,80.0,400.0,3,2
9128,4,3,17,0,886,24,45,30.0,60.0,20,240,0,5,18.0,0,105.0,0,14,0,17,15,6,4,11,8.0,10,70.0,200.0,4,1
3603,4,3,2,0,937,123,45,30.0,60.0,20,240,0,2,12.0,0,85.0,0,28,0,17,15,6,4,2,4.5,15,60.0,200.0,11,2
531,4,3,0,0,995,121,19,19.0,19.0,20,105,0,3,7.0,0,70.0,0,30,0,17,15,1,4,2,5.5,2,60.0,200.0,9,2
9895,4,3,18,0,525,124,7,7.0,7.0,20,570,0,3,48.0,0,450.0,0,42,0,17,57,6,7,6,11.5,15,70.0,200.0,3,3
7243,4,3,6,0,311,71,45,30.0,60.0,20,145,0,2,8.0,0,50.0,0,36,0,20,110,1,2,2,6.0,13,60.0,200.0,10,0
5478,4,0,2,0,797,76,4,4.0,4.0,20,130,0,3,9.4,0,200.0,0,18,0,17,98,3,3,2,10.5,6,80.0,400.0,8,0
2502,4,3,0,0,704,27,45,30.0,60.0,20,320,0,2,23.0,0,45.0,0,49,0,17,79,6,3,8,5.0,15,70.0,200.0,1,1
1058,4,3,0,0,865,3,45,30.0,60.0,20,145,0,3,11.0,0,80.0,0,31,0,17,15,1,6,2,7.5,0,50.0,80.0,8,2
960,4,3,0,0,372,58,45,30.0,60.0,20,530,0,1,18.0,0,170.0,0,6,0,17,15,1,7,2,13.0,10,70.0,200.0,12,2
9574,4,3,24,0,0,117,45,30.0,60.0,20,175,0,3,10.0,0,100.0,0,45,0,17,15,6,0,11,4.0,5,60.0,200.0,5,3
3423,4,3,0,0,1374,145,17,17.0,17.0,20,250,0,2,20.5,0,200.0,0,39,0,17,61,6,6,2,6.0,1,60.0,200.0,4,3
4677,4,3,1,0,738,12,45,30.0,60.0,20,470,0,8,24.5,0,230.0,0,27,0,17,15,6,3,2,7.5,15,60.0,200.0,5,1
45,4,3,0,0,18,3,21,21.0,21.0,20,70,0,3,4.5,0,65.0,0,35,0,17,15,1,8,2,7.0,2,60.0,200.0,11,1
5635,4,3,1,0,768,115,14,14.0,14.0,20,130,0,1,14.0,0,70.0,0,28,0,17,15,6,6,2,6.5,1,50.0,150.0,5,1
3145,4,3,1,0,786,30,45,30.0,60.0,20,135,0,2,6.0,0,65.0,0,28,0,17,15,3,7,2,6.0,1,60.0,200.0,8,1
1524,4,3,0,0,315,27,6,6.0,6.0,20,65,0,2,11.5,0,310.0,0,31,0,20,110,1,0,2,5.0,2,60.0,200.0,12,0
201,4,3,0,0,972,142,45,30.0,60.0,20,330,0,3,12.5,0,120.0,0,21,0,17,15,1,6,7,15.5,0,50.0,80.0,11,1
9346,4,3,17,0,1028,14,75,60.0,90.0,20,500,0,6,31.0,0,110.0,0,76,0,20,110,6,6,9,4.0,15,70.0,200.0,7,2
5314,4,3,2,0,85,34,9,9.0,9.0,20,200,0,2,8.0,0,85.0,0,28,0,17,15,6,3,8,5.0,2,60.0,200.0,12,1
5904,4,3,4,0,32,20,10,10.0,10.0,20,80,0,3,7.3,0,120.0,0,36,0,17,15,3,3,8,2.0,6,80.0,400.0,8,2
4164,4,3,1,0,437,30,75,60.0,90.0,20,210,0,3,10.0,0,110.0,0,33,0,17,15,6,2,2,6.0,8,60.0,200.0,6,1
1947,4,3,0,0,1281,3,25,25.0,25.0,20,120,0,8,9.0,0,90.0,0,20,0,17,15,6,6,9,4.0,0,60.0,150.0,4,0
3234,4,3,1,0,1211,115,4,4.0,4.0,20,125,0,2,10.0,0,45.0,0,34,0,17,15,1,5,8,6.0,0,60.0,150.0,11,1
6137,4,3,4,0,38,20,21,21.0,21.0,20,155,0,2,8.0,0,80.0,0,31,0,17,15,1,5,2,5.5,0,50.0,80.0,13,2
9649,4,3,25,0,275,71,45,30.0,60.0,20,270,0,5,15.0,0,90.0,0,33,0,17,15,6,7,11,6.0,0,50.0,80.0,5,1
97,4,3,0,0,440,142,75,60.0,90.0,20,520,0,1,17.0,0,290.0,0,25,0,17,15,3,6,2,7.0,15,70.0,200.0,9,1
7566,4,3,4,0,44,20,9,9.0,9.0,20,155,0,3,9.0,0,140.0,0,48,0,17,15,6,3,9,2.0,4,60.0,200.0,4,3
7521,4,3,7,0,1009,120,105,90.0,120.0,20,2000,1,3,36.5,0,230.0,0,32,0,17,47,6,3,6,9.5,10,70.0,200.0,8,0
6095,4,3,4,0,34,20,14,14.0,14.0,20,155,0,2,7.0,0,120.0,0,21,0,17,110,1,2,2,11.0,5,60.0,200.0,13,1
1822,4,3,0,0,425,0,6,6.0,6.0,20,70,0,2,7.6,0,35.0,0,16,0,17,15,6,7,2,5.0,4,60.0,200.0,1,2
9993,4,3,27,0,0,106,45,30.0,60.0,20,740,0,3,33.0,0,135.0,0,52,0,17,15,6,8,11,5.3,10,70.0,200.0,3,3
9644,4,3,25,0,275,71,45,30.0,60.0,20,460,0,8,34.0,0,115.0,0,38,0,17,15,6,6,11,6.0,0,50.0,60.0,5,3
5385,4,3,1,0,534,30,45,30.0,60.0,20,200,0,7,14.0,0,95.0,0,47,0,17,15,6,2,8,6.0,1,60.0,200.0,7,2
7706,4,3,4,0,300,20,22,22.0,22.0,20,340,0,6,17.5,0,145.0,0,41,0,17,15,6,8,2,6.0,0,50.0,80.0,4,0
1131,4,3,0,0,417,3,45,30.0,60.0,20,100,0,6,13.0,0,80.0,0,27,0,17,15,3,4,2,7.0,0,50.0,80.0,12,2
9610,4,3,7,0,1091,46,29,29.0,29.0,20,135,0,2,9.0,0,130.0,0,54,0,17,15,6,6,8,8.5,10,70.0,200.0,3,1
5636,4,3,1,0,810,30,45,30.0,60.0,20,165,0,0,4.5,0,75.0,0,32,0,17,15,6,7,9,4.0,0,50.0,80.0,6,3
5469,4,3,2,0,797,76,9,9.0,9.0,20,165,0,3,10.3,0,200.0,0,33,0,17,61,1,2,8,6.0,4,60.0,200.0,9,3
6244,4,3,4,0,1171,129,75,60.0,90.0,20,340,0,3,9.5,0,140.0,0,76,0,17,47,3,3,7,9.0,10,70.0,200.0,9,3
8725,4,3,23,0,0,56,12,12.0,12.0,20,2000,1,5,50.0,1,1000.0,0,41,0,2,61,1,6,11,5.5,2,60.0,200.0,8,2
5770,4,3,0,0,360,89,45,30.0,60.0,20,250,0,6,18.0,0,240.0,0,32,0,17,53,6,6,7,9.0,10,70.0,200.0,3,1
9774,4,3,34,0,681,113,13,13.0,13.0,20,195,0,3,16.0,0,150.0,0,36,0,17,15,6,6,11,4.0,2,60.0,200.0,6,2
2307,4,3,1,0,1013,30,45,30.0,60.0,20,195,0,5,15.0,0,90.0,0,49,0,17,15,6,0,2,6.0,0,60.0,150.0,11,3
1340,4,3,0,0,135,65,18,18.0,18.0,20,125,0,3,12.0,0,100.0,0,33,0,17,15,1,7,8,6.5,4,60.0,200.0,10,3
4757,4,3,0,0,270,27,45,30.0,60.0,20,250,0,7,15.5,0,90.0,0,27,0,17,15,6,2,2,6.0,0,50.0,80.0,3,3
7656,4,3,3,0,460,66,45,30.0,60.0,20,2000,1,1,9.0,0,190.0,0,76,0,17,15,6,2,7,8.0,10,70.0,200.0,6,1
9421,4,3,21,0,749,140,23,23.0,23.0,20,140,0,2,12.2,0,35.0,0,19,0,17,15,6,7,11,3.5,10,70.0,200.0,5,3
5436,4,3,2,0,797,76,2,2.0,2.0,20,145,0,3,14.0,0,105.0,0,28,0,17,15,3,3,8,2.0,2,60.0,200.0,12,3
